observation_date,DDDM04JPA156NWDB
1997-01-01,63.16339000000000
1998-01-01,86.32525000000000
1999-01-01,95.58170000000000
2000-01-01,85.82451999999999
2001-01-01,90.68961000000000
2002-01-01,111.20460000000000
2003-01-01,122.90670000000000
2004-01-01,129.46920000000000
2005-01-01,120.60509999999999
2006-01-01,126.69589999999999
2007-01-01,137.84580000000000
2008-01-01,159.05869999999999
2009-01-01,157.15280000000001
2010-01-01,176.60980000000001
2011-01-01,182.24719999999999
2012-01-01,165.09790000000001
2013-01-01,168.79130000000001
2014-01-01,160.12070000000000
2015-01-01,178.49039999999999
2016-01-01,167.04620000000000
2017-01-01,179.57720000000000
2018-01-01,182.55029999999999
2019-01-01,184.31999999999999
2020-01-01,217.02600000000001
